#,Exercise / Activity Name,Primary Category,Tracking Type,Equipment Required,Default Tracking Metrics
1,Barbell Bench Press,Chest,Rep-Based,"Barbell, Bench","Sets, Reps, Weight (kg)"
2,Incline Dumbbell Bench Press,Chest,Rep-Based,"Dumbbells, Incline Bench","Sets, Reps, Weight (kg)"
3,Pec Deck,Chest,Rep-Based,Pec Deck Machine,"Sets, Reps, Weight (kg)"
4,Cable Crossover,Chest,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
5,Incline Barbell Bench Press,Chest,Rep-Based,"Barbell, Incline Bench","Sets, Reps, Weight (kg)"
6,Dumbbell Bench Press,Chest,Rep-Based,"Dumbbells, Bench","Sets, Reps, Weight (kg)"
7,Dumbbell Fly,Chest,Rep-Based,"Dumbbells, Bench","Sets, Reps, Weight (kg)"
8,Incline Dumbbell Fly,Chest,Rep-Based,"Dumbbells, Incline Bench","Sets, Reps, Weight (kg)"
9,Chest Press Machine,Chest,Rep-Based,Chest Press Machine,"Sets, Reps, Weight (kg)"
10,Barbell Decline Bench Press,Chest,Rep-Based,"Barbell, Decline Bench","Sets, Reps, Weight (kg)"
11,Dumbbell Decline Bench Press,Chest,Rep-Based,"Dumbbells, Decline Bench","Sets, Reps, Weight (kg)"
12,Push Ups,Chest,Rep-Based,Bodyweight,"Sets, Reps, Added Weight (kg)"
13,Dumbbell Bent-Over Row (Single Arm),Back,Rep-Based,"Dumbbell, Bench","Sets, Reps, Weight (kg)"
14,Wide-Grip Pulldown,Back,Rep-Based,Lat Pulldown Machine,"Sets, Reps, Weight (kg)"
15,Seated Cable Row,Back,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
16,Close-Grip Pulldown,Back,Rep-Based,Lat Pulldown Machine,"Sets, Reps, Weight (kg)"
17,Barbell Row,Back,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
18,Behind-Neck Pulldown,Back,Rep-Based,Lat Pulldown Machine,"Sets, Reps, Weight (kg)"
19,Reverse-Grip Pulldown,Back,Rep-Based,Lat Pulldown Machine,"Sets, Reps, Weight (kg)"
20,Rope Pulldown,Back,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
21,T-Bar Rows,Back,Rep-Based,T-Bar Row Machine / Barbell,"Sets, Reps, Weight (kg)"
22,Barbell Bent Over Rows Supinated Grip,Back,Rep-Based,Barbell,"Sets, Reps, Weight (kg)"
23,Pull Up,Back,Rep-Based,Pull-Up Bar,"Sets, Reps, Added Weight (kg)"
24,Behind the Neck Pull Up,Back,Rep-Based,Pull-Up Bar,"Sets, Reps, Added Weight (kg)"
25,Pull Up with a Supinated Grip,Back,Rep-Based,Pull-Up Bar,"Sets, Reps, Added Weight (kg)"
26,Straight Arm Lat Pulldown,Back,Rep-Based,Cable Machine,"Sets, Reps, Weight (kg)"
27,Dumbbell Bent Over Rows,Back,Rep-Based,Dumbbells,"Sets, Reps, Weight (kg)"
28,Dumbbell Pullover,Back / Chest,Rep-Based,"Dumbbell, Bench","Sets, Reps, Weight (kg)"
29,Barbell Pullover,Back / Chest,Rep-Based,"Barbell, Bench","Sets, Reps, Weight (kg)"
